CPI,Date,GDP,lnCPI,lnGDP,M4,M3,M1,lnM4,lnM3,lnM1,M2,lnM2,Consumption,lnConsumption
64.6,1/31/03,1840079,4.168214411,14.42531906,10.16666667,6.566666667,18.96666667,2.319114395,1.882006347,2.942683052,6.733333333,1.907070316,1429858,14.1730857
65.1,5/1/03,1932976,4.175924549,14.47457134,8.966666667,5.633333333,12.2,2.193513998,1.728701333,2.501435952,5.733333333,1.746297095,1515315,14.2311339
65.53333333,8/1/03,1909701,4.182558919,14.46245724,6.933333333,4.4,9.866666667,1.936340698,1.481604541,2.289162073,4.3,1.458615023,1523863,14.23675912
65.73333333,10/31/03,2162922,4.185606154,14.58697064,5.166666667,4,8.7,1.642227735,1.386294361,2.163323026,3.933333333,1.369487243,1697272,14.34453281
66.5,1/31/04,1972128,4.197201948,14.49462372,5.466666667,5.3,10.76666667,1.698669046,1.667706821,2.376454942,5.3,1.667706821,1523683,14.23664099
67.43333333,5/1/04,2077812,4.211139456,14.54682597,6.2,5.366666667,12.33333333,1.824549292,1.680206983,2.512305624,5.333333333,1.673976434,1582891,14.27476348
69.3,8/1/04,2029119,4.238444906,14.52311227,7.266666667,5.933333333,10.1,1.983297681,1.780586169,2.312535424,6.033333333,1.79729965,1612650,14.29338935
70.2,10/31/04,2282020,4.251348311,14.64057157,6.433333333,4.766666667,8.366666667,1.861492807,1.561647249,2.124255557,4.666666667,1.540445041,1811167,14.40948195
71.33333333,1/31/05,2071140,4.267363726,14.54360974,11.8,12.53333333,11.06666667,2.468099531,2.528391762,2.403937587,11.83333333,2.470920408,1598765,14.28474201
72.2,5/1/05,2195369,4.279440046,14.6018607,11.2,13.2,11.1,2.415913778,2.58021683,2.406945108,12.56666667,2.531047806,1678553,14.33344267
73.53333333,8/1/05,2117985,4.297738818,14.56597572,13.33333333,15.86666667,15.13333333,2.590267165,2.764220473,2.716899816,15.36666667,2.732200661,1671508,14.32923677
74.5,10/31/05,2389831,4.310799125,14.68673321,12.4,15.76666667,14.13333333,2.517696473,2.757898007,2.648536074,15.36666667,2.732200661,1871806,14.4424143
75.83333333,1/31/06,2164381,4.32853795,14.58764497,4.966666667,7.933333333,8.6,1.602748924,2.071073292,2.151762203,7.866666667,2.062634423,1654718,14.31914116
76.56666667,5/1/06,2325314,4.338161821,14.65936564,9.1,11.33333333,10.9,2.208274414,2.427748236,2.388762789,11,2.397895273,1766477,14.38449773
77.33333333,8/1/06,2217593,4.348125083,14.61193293,10.76666667,13.66666667,11.5,2.376454942,2.614959778,2.442347035,13.06666667,2.570064458,1732145,14.36487108
77.73333333,10/31/06,2533516,4.353284166,14.74511862,16.6,20.06666667,16.26666667,2.809402695,2.999060064,2.789118024,19.5,2.970414466,1952559,14.48465138
78.2,1/31/07,2297797,4.359269648,14.6474614,20.33333333,25.33333333,26.53333333,3.012261576,3.232121052,3.278401804,24.96666667,3.217541602,1721464,14.35868565
78.6,5/1/07,2484417,4.364371699,14.72554858,17.13333333,22.66666667,30.26666667,2.841025884,3.120895417,3.410046997,22.86666667,3.129680246,1852435,14.43201155
79.5,8/1/07,2362773,4.375757022,14.67534649,10.7,14.8,24.63333333,2.370243741,2.694627181,3.204100539,15,2.708050201,1808810,14.40817973
80.2,10/31/07,2698252,4.384523515,14.80811471,7.4,12.3,19.46666667,2.00148,2.509599262,2.968703601,12.26666667,2.506885557,2064944,14.54061367
82.3,1/31/08,2393607,4.410371108,14.68831199,2.466666667,5.433333333,9.1,0.902867712,1.692552819,2.208274414,3.866666667,1.352392809,1812829,14.41039917
85.13333333,5/1/08,2602999,4.444218655,14.7721748,5.2,5.133333333,5.033333333,1.648658626,1.635755221,1.616082455,1.966666667,0.676340062,1908160,14.46164998
87.7,8/1/08,2491196,4.473921899,14.72827347,10.7,11.2,11.93333333,2.370243741,2.415913778,2.479335605,7.766666667,2.049841072,1874840,14.44403388
87.3,10/31/08,2783075,4.469350463,14.83906699,14.3,13.36666667,16.93333333,2.660259537,2.592764046,2.829284066,10,2.302585093,2138752,14.57573304
88,1/31/09,2420350,4.477336814,14.69942272,15.7,13.7,20.63333333,2.753660712,2.617395833,3.026907891,12.1,2.493205453,1850946,14.43120742
88.86666667,5/1/09,2652251,4.487137119,14.79091927,13.13333333,13.03333333,19.06666667,2.575153528,2.567510178,2.94794161,12.16666667,2.498699972,1988001,14.50264017
89.5,8/1/09,2514311,4.494238625,14.73750937,11.3,12.2,19.9,2.424802726,2.501435952,2.990719732,11.93333333,2.479335605,1889867,14.45201701
90.5,10/31/09,2832721,4.505349851,14.85674829,10.6,11.5,16.26666667,2.360854001,2.442347035,2.789118024,11.5,2.442347035,2201565,14.60467903
91.43333333,1/31/10,2616891,4.515610109,14.77749753,10.3,10.56666667,16.2,2.332143895,2.357704392,2.785011242,10.1,2.312535424,1929592,14.47281914
92.26666667,5/1/10,2863767,4.524682935,14.86764845,10.63333333,11.33333333,17.46666667,2.363993721,2.427748236,2.860294303,11.2,2.415913778,2030708,14.52389506
92.96666667,8/1/10,2692052,4.532241006,14.80581429,8.466666667,9.266666667,11.73333333,2.136136885,2.226423732,2.462433794,9.166666667,2.215573716,1939923,14.47815884
93.7,10/31/10,3011152,4.540098189,14.91783329,6.866666667,8.033333333,10.7,1.926678787,2.083599552,2.370243741,8.2,2.104134154,2314840,14.65485113
95.56666667,1/31/11,2743209,4.559824084,14.82463896,7,9.366666667,11.2,1.945910149,2.237157288,2.415913778,9.766666667,2.278975227,2021322,14.51926231
96.8,5/1/11,2965726,4.572646994,14.90263242,5.866666667,8.6,7.366666667,1.769286613,2.151762203,1.99696532,9.1,2.208274414,2129049,14.57118596
97.36666667,8/1/11,2773776,4.578483921,14.83572013,5.933333333,8.266666667,9.533333333,1.780586169,2.112231365,2.254794429,8.333333333,2.120263536,2070681,14.5433881
98.03333333,10/31/11,3132649,4.585307557,14.95738953,5.233333333,7.266666667,10.66666667,1.655048424,1.983297681,2.367123614,7,1.945910149,2450123,14.71164879
98.73333333,1/31/12,2908899,4.592422613,14.88328522,4.633333333,6.5,8.633333333,1.533276551,1.871802177,2.15563068,6.033333333,1.79729965,2168390,14.58949551
99.66666667,5/1/12,3150174,4.601831285,14.96296825,5.2,6.933333333,8.6,1.648658626,1.936340698,2.151762203,6.433333333,1.861492807,2273112,14.63666038
100.7333333,8/1/12,2979022,4.612476761,14.90710562,4.733333333,5.9,8.166666667,1.554629676,1.774952351,2.100060829,6.566666667,1.882006347,2212883,14.60980675
100.9666667,10/31/12,3378370,4.614790429,15.0329039,7.3,9.233333333,7.6,1.987874348,2.222820125,2.028148247,9.066666667,2.204604685,2606341,14.77345788
101.5333333,1/31/13,3129776,4.620387152,14.95647199,8.933333333,11.06666667,11.13333333,2.189789599,2.403937587,2.409943611,11.9,2.4765384,2291103,14.64454392
102,5/1/13,3386829,4.624972813,15.03540464,13.5,16.3,19.6,2.602689685,2.791165108,2.975529566,17.6,2.867898902,2390956,14.68720384
102.9,8/1/13,3178884,4.633757643,14.97204075,26.43333333,30.63333333,26.56666667,3.27462584,3.422088741,3.279657297,31.83333333,3.460513959,2355858,14.67241555
104,10/31/13,3559155,4.644390899,15.08503372,28.6,32.16666667,27.23333333,3.353406718,3.47093072,3.304441713,34.23333333,3.533199828,2761690,14.83135337
105.2333333,1/31/14,3308136,4.656180107,15.01189545,33.2,36.63333333,27,3.502549876,3.600958573,3.295836866,38.13333333,3.64108879,2441153,14.70798103
105.9,5/1/14,3621756,4.662495253,15.10246955,26.8,28.53333333,20.93333333,3.288401888,3.351072994,3.041342785,29.63333333,3.388899854,2530825,14.74405589
107.1,8/1/14,3367553,4.673762977,15.02969693,17.46666667,17.76666667,16.13333333,2.860294303,2.877324043,2.780887525,17.73333333,2.875446108,2479539,14.72358321
106.9666667,10/31/14,3798601,4.672517259,15.1501434,13.03333333,12.06666667,14.43333333,2.567510178,2.49044683,2.669540346,11.6,2.451005098,2914944,14.88536117
106.8333333,1/31/15,3481796,4.671269988,15.06305881,9.266666667,8.4,12.2,2.226423732,2.128231706,2.501435952,7.533333333,2.019337618,2591280,14.76766252
106.9333333,5/1/15,3853504,4.672205587,15.16449342,9.366666667,9.1,12.66666667,2.237157288,2.208274414,2.538973871,8.233333333,2.108190955,2695933,14.8072549
107.0333333,8/1/15,3589388,4.673140312,15.09349227,9.3,8.8,13.8,2.2300144,2.174751721,2.624668592,8,2.079441542,2636266,14.78487408
107.2666667,10/31/15,4066219,4.675317946,15.21822413,9.833333333,9.566666667,15.03333333,2.285777975,2.258284834,2.710269958,9.033333333,2.200921439,3111056,14.95047278
107.4666667,1/31/16,3722688,4.677180722,15.12995655,11.43333333,11.4,16.76666667,2.436533066,2.433613355,2.819392788,11.7,2.459588842,2777972,14.83723172
107.9666667,5/1/16,4140186,4.681822538,15.23625127,12.63333333,12.9,17.66666667,2.536338823,2.557227311,2.871679625,13.5,2.602689685,2898169,14.87958972
108.5666667,8/1/16,3852483,4.687364424,15.16422843,11.93333333,12.76666667,16.6,2.479335605,2.546837608,2.809402695,13.5,2.602689685,2828137,14.85512875
109.4333333,10/31/16,4347319,4.695315536,15.28506989,12.93333333,12.9,16.16666667,2.559807958,2.557227311,2.782951509,13.46666667,2.600217496,3319183,15.01522923
110.5666667,1/31/17,3959977,4.705618657,15.19174878,12.6,12.3,15,2.533696814,2.509599262,2.708050201,12.2,2.501435952,2943490,14.89510651
111.0333333,5/1/17,4437331,4.709830457,15.30556363,12.6,12.13333333,15.03333333,2.533696814,2.495956486,2.710269958,12.06666667,2.49044683,3073414,14.93829955
111.4666667,8/1/17,4142636,4.713725593,15.23684286,15.4,14.83333333,16.93333333,2.734367509,2.696876901,2.829284066,14.56666667,2.678735813,2983445,14.90858923
112.7333333,10/31/17,4636033,4.725025148,15.3493696,13.5,13.76666667,16.86666667,2.602689685,2.622250211,2.825339288,13.46666667,2.600217496,3527479,15.07609401
114.8333333,1/31/18,4215576,4.743481802,15.25429679,13.16666667,13.66666667,17.3,2.577688383,2.614959778,2.850706502,13.43333333,2.59773918,3114801,14.95167582
116.3333333,5/1/18,4720384,4.756459634,15.36740071,12.63333333,13.5,16.9,2.536338823,2.602689685,2.827313622,13.1,2.57261223,3263873,14.99842508
118.4333333,8/1/18,4397241,4.774350214,15.29648786,9.666666667,10.5,12.6,2.268683541,2.351375257,2.533696814,10.16666667,2.319114395,3148718,14.96250594
119.4333333,10/31/18,4931988,4.782758336,15.41125271,8.333333333,8.9,9.333333333,2.120263536,2.186051277,2.233592222,8.366666667,2.124255557,3722692,15.12995762
119.2333333,1/31/19,4457631,4.781082358,15.31012802,6.6,7.1,6.666666667,1.887069649,1.960094784,1.897119985,5.866666667,1.769286613,3308970,15.01214752
119.7666667,5/1/19,4974731,4.785545405,15.41988186,6.5,6.666666667,5.533333333,1.871802177,1.897119985,1.710790407,5.333333333,1.673976434,3447003,15.05301572
120.4,8/1/19,4675923,4.790819533,15.35793713,6.5,6.933333333,8.733333333,1.871802177,1.936340698,2.167147122,5.633333333,1.728701333,3338010,15.02088538
121.2666667,10/31/19,5260228,4.797991977,15.47568493,8.466666667,9.866666667,13.3,2.136136885,2.289162073,2.587764035,9.1,2.208274414,3933210,15.18496644
122.4333333,1/31/20,4450941,4.807566664,15.30862609,10.1,11.45,16.55,2.312535424,2.43798973,2.806386102,10.6,2.360854001,3314513,15.01382126